DateG,DateH,Day,City,Holiday Name,Type of Public Holiday,School,Cloudy,Widespread Dust,Blowing Dust,Fog,Mist,Rain,Comments,Match,Event,Effect on City,Link Source,Pay Day,days till next payday,days after payday,days after school,days before school,Semesters
01/01/2022,28/05/1443,Saturday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Arsenal vs Man City,"Preimer League, KSA League",FALSE,FALSE,FALSE,FALSE,26,30,Vacation,Vacation,
02/01/2022,29/05/1443,Sunday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Chelsea vs Liverpool,Preimer League,FALSE,FALSE,FALSE,FALSE,25,29,Vacation,Vacation,
03/01/2022,30/05/1443,Monday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,24,28,Vacation,Vacation,
04/01/2022,1/6/1443,Tuesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,23,27,Vacation,Vacation,
05/01/2022,2/6/1443,Wednesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chelsea vs Tottenham,Preimer League,FALSE,FALSE,FALSE,FALSE,22,26,Vacation,Vacation,
06/01/2022,3/6/1443,Thursday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Al-Hilal - Al-Faisaly, King Fahd Stadium",KSA League,FALSE,FALSE,FALSE,FALSE,21,25,Vacation,Vacation,
07/01/2022,4/6/1443,Friday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,20,24,Vacation,Vacation,
08/01/2022,5/6/1443,Saturday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,19,23,Vacation,Vacation,
09/01/2022,6/6/1443,Sunday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,18,22,Vacation,Vacation,
10/01/2022,7/6/1443,Monday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,17,21,Vacation,Vacation,
11/01/2022,8/6/1443,Tuesday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,16,20,Vacation,Vacation,
12/01/2022,9/6/1443,Wednesday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"King Fahd International Stadium, Riyadh, FC Barcelona vs. Real Madrid, Score: 2:3, Audience: 60,243","Preimer League, La liga",FALSE,FALSE,FALSE,FALSE,15,19,Vacation,Vacation,
13/01/2022,10/6/1443,Thursday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Arsenal vs Liverpool,Preimer League,FALSE,FALSE,FALSE,FALSE,14,18,Vacation,Vacation,
14/01/2022,11/6/1443,Friday,Riyadh,No Holiday,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,,الحفلة الكورية (ستراي كيدز – تشونغها),حفلة لفرقة ستراي كيدز والمغنية تشونغها، تستهدف محبي الموسيقى الكورية في بوليفارد الرياض,رابط,FALSE,13,17,Vacation,Vacation,
15/01/2022,12/6/1443,Saturday,Riyadh,No Holiday,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Man City vs Chelsea,Preimer League,FALSE,FALSE,FALSE,FALSE,12,16,Vacation,Vacation,
16/01/2022,13/06/1443,Sunday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Real Madrid vs Athletic Bilbao, King Fahd International Stadium, Riyadh, Score: Real Madrid 2–0 Athletic Bilbao, Attendance: 58,398",La liga,FALSE,FALSE,FALSE,FALSE,11,15,1,53,2 - 1443
17/01/2022,14/06/1443,Monday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,10,14,2,52,
18/01/2022,15/06/1443,Tuesday,Riyadh,No Holiday,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,9,13,3,51,
19/01/2022,16/06/1443,Wednesday,Riyadh,No Holiday,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,8,12,4,50,
20/01/2022,17/06/1443,Thursday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Arsenal vs Liverpool,Preimer League,FALSE,FALSE,FALSE,FALSE,7,11,5,49,
21/01/2022,18/06/1443,Friday,Riyadh,No Holiday,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,KSA League,FALSE,FALSE,FALSE,FALSE,6,10,6,48,
22/01/2022,19/06/1443,Saturday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,5,9,7,47,
23/01/2022,20/06/1443,Sunday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chelsea vs Tottenham,Preimer League,FALSE,FALSE,FALSE,FALSE,4,8,8,46,
24/01/2022,21/06/1443,Monday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,3,7,9,45,
25/01/2022,22/06/1443,Tuesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,2,6,10,44,
26/01/2022,23/06/1443,Wednesday,Riyadh,No Holiday,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,1,5,11,43,
27/01/2022,24/06/1443,Thursday,Riyadh,No Holiday,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Stadium: King Abdullah Sports City, Jeddah, Score: Saudi Arabia 1–0 Oman, Attendance: 47,364",World Cup,FALSE,FALSE,FALSE,TRUE,31,4,12,42,
28/01/2022,25/06/1443,Friday,Riyadh,No Holiday,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,30,3,13,41,
29/01/2022,26/06/1443,Saturday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,29,2,14,40,
30/01/2022,27/06/1443,Sunday,Riyadh,No Holiday,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,28,1,15,39,
31/01/2022,28/06/1443,Monday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,27,0,16,38,
01/02/2022,29/06/1443,Tuesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,World Cup,FALSE,FALSE,FALSE,FALSE,26,27,17,37,
02/02/2022,1/7/1443,Wednesday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,25,26,18,36,
03/02/2022,2/7/1443,Thursday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,24,25,19,35,
04/02/2022,3/7/1443,Friday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,23,24,20,34,
05/02/2022,4/7/1443,Saturday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,KSA League,FALSE,FALSE,FALSE,FALSE,22,23,21,33,
06/02/2022,5/7/1443,Sunday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"KSA League, La liga",FALSE,FALSE,FALSE,FALSE,21,22,22,32,
07/02/2022,6/7/1443,Monday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,20,21,23,31,
08/02/2022,7/7/1443,Tuesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,19,20,24,30,
09/02/2022,8/7/1443,Wednesday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,18,19,25,29,
10/02/2022,9/7/1443,Thursday,Riyadh,No Holiday,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,17,18,26,28,
11/02/2022,10/7/1443,Friday,Riyadh,No Holiday,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Al Nassr vs Al Ittihad,KSA League,FALSE,FALSE,FALSE,FALSE,16,17,27,27,
