DateG,Day,City,Holiday Name,Type of Public Holiday,School,Cloudy,Widespread Dust,Blowing Dust,Fog,Mist,Rain,Match,Event,Effect on City,Pay Day,days till next payday,days after payday,days after school,days before school,is_payday,is_holiday,has_event,has_match,is_weekend,has_rain,bad_weather,payday_window,is_vacation,impact_score,impact_level,stable_weather,rain_or_mist,dust,fog
2022-01-01,Saturday,Riyadh,No Holiday,,False,False,False,False,True,False,True,"Preimer League, KSA League",FALSE,FALSE,FALSE,26.0,30.0,Vacation,Vacation,0,0,0,1,1,1,1,0,1,5,Medium,0,1,0,1
2022-02-01,Sunday,Riyadh,No Holiday,,True,False,False,False,True,False,True,Preimer League,FALSE,FALSE,FALSE,25.0,29.0,Vacation,Vacation,0,0,0,1,0,1,1,0,1,4,Medium,0,1,0,1
2022-03-01,Monday,Riyadh,No Holiday,,True,False,False,False,False,False,False,,FALSE,FALSE,FALSE,24.0,28.0,Vacation,Vacation,0,0,0,0,0,0,0,0,1,0,Low,1,0,0,0
2022-04-01,Tuesday,Riyadh,No Holiday,,True,False,False,False,False,False,False,,FALSE,FALSE,FALSE,23.0,27.0,Vacation,Vacation,0,0,0,0,0,0,0,0,1,0,Low,1,0,0,0
2022-05-01,Wednesday,Riyadh,No Holiday,,True,False,False,False,False,False,False,Preimer League,FALSE,FALSE,FALSE,22.0,26.0,Vacation,Vacation,0,0,0,1,0,0,0,0,1,2,Low,1,0,0,0
2022-06-01,Thursday,Riyadh,No Holiday,,False,False,False,False,False,False,False,KSA League,FALSE,FALSE,FALSE,21.0,25.0,Vacation,Vacation,0,0,0,1,1,0,0,0,1,3,Medium,1,0,0,0
2022-07-01,Friday,Riyadh,No Holiday,,False,False,False,False,False,False,False,,FALSE,FALSE,FALSE,20.0,24.0,Vacation,Vacation,0,0,0,0,1,0,0,0,1,1,Low,1,0,0,0
2022-08-01,Saturday,Riyadh,No Holiday,,False,False,False,False,False,False,False,,FALSE,FALSE,FALSE,19.0,23.0,Vacation,Vacation,0,0,0,0,1,0,0,0,1,1,Low,1,0,0,0
2022-09-01,Sunday,Riyadh,No Holiday,,False,False,False,False,False,False,False,,FALSE,FALSE,FALSE,18.0,22.0,Vacation,Vacation,0,0,0,0,0,0,0,0,1,0,Low,1,0,0,0
2022-10-01,Monday,Riyadh,No Holiday,,False,False,False,False,False,False,False,,FALSE,FALSE,FALSE,17.0,21.0,Vacation,Vacation,0,0,0,0,0,0,0,0,1,0,Low,1,0,0,0
2022-11-01,Tuesday,Riyadh,No Holiday,,False,False,False,False,False,False,False,,FALSE,FALSE,FALSE,16.0,20.0,Vacation,Vacation,0,0,0,0,0,0,0,0,1,0,Low,1,0,0,0
2022-12-01,Wednesday,Riyadh,No Holiday,,False,False,False,False,False,False,False,"Preimer League, La liga",FALSE,FALSE,FALSE,15.0,19.0,Vacation,Vacation,0,0,0,1,0,0,0,0,1,2,Low,1,0,0,0
,Thursday,Riyadh,No Holiday,,False,False,False,False,False,False,False,Preimer League,FALSE,FALSE,FALSE,14.0,18.0,Vacation,Vacation,0,0,0,1,1,0,0,0,1,3,Medium,1,0,0,0
,Friday,Riyadh,No Holiday,,False,False,True,True,False,False,True,,الحفلة الكورية (ستراي كيدز – تشونغها),حفلة لفرقة ستراي كيدز والمغنية تشونغها، تستهدف محبي الموسيقى الكورية في بوليفارد الرياض,FALSE,13.0,17.0,Vacation,Vacation,0,0,1,0,1,1,1,0,1,6,High,0,1,1,0
,Saturday,Riyadh,No Holiday,,False,False,True,False,True,False,True,Preimer League,FALSE,FALSE,FALSE,12.0,16.0,Vacation,Vacation,0,0,0,1,1,1,1,0,1,6,High,0,1,1,1
,Sunday,Riyadh,No Holiday,,True,False,False,False,True,False,False,La liga,FALSE,FALSE,FALSE,11.0,15.0,1,53,0,0,0,1,0,0,1,0,0,3,Medium,0,0,0,1
,Monday,Riyadh,No Holiday,,True,False,False,False,False,False,False,,FALSE,FALSE,FALSE,10.0,14.0,2,52,0,0,0,0,0,0,0,0,0,0,Low,1,0,0,0
,Tuesday,Riyadh,No Holiday,,True,True,False,False,True,False,True,,FALSE,FALSE,FALSE,9.0,13.0,3,51,0,0,0,0,0,1,1,0,0,2,Low,0,1,0,1
